loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted,name,age,gender,city,marital_status,employment_type,occupation,monthly_income,monthly_expense,existing_emi,savings_balance,home_ownership,education_level,dependents,credit_score,account_age_months,job_tenure_years,previous_loans,monthly_transactions,acquisition_channel,device_type,digital_activity_score,avg_days_late,max_days_late,delinquency_count,partial_payment_count,missed_payment_count,avg_net_cash_flow,avg_balance_volatility,avg_cash_flow_consistency,spending_shock_count,overdraft_count
LN260181,C00587,Home Renovation,796517,559042,48,10.23,14240.58,0.17,2025-10-15,65,35,0.41,High,1,0,0.56,Active,0,Divya Memon,22,Female,Darbhanga,Single,Student,Student,27679,21448,4897,86726,Family Owned,Bachelor,0,602,38,0,0,103,Facebook,iPhone,42,7.0,40,4,5,1.0,15928.833333333334,0.3066666666666667,85.58333333333333,0,0
LN620843,C00588,Home Renovation,1505371,1447408,60,10.31,30974.38,0.62,2026-04-19,53,47,0.338,High,1,0,2.41,Closed,0,Sudiksha Varty,45,Female,Bhubaneswar,Divorced,Salaried,Sales Executive,68214,43643,19835,774680,Owned,Diploma,1,737,115,21,9,294,Instagram,Android,94,20.36842105263158,82,5,0,5.0,15908.75,0.385,51.25,0,0
LN853632,C00589,Education,227306,169632,36,9.2,5410.06,0.41,2024-10-28,88,12,0.548,High,0,High Risk,1.08,Rejected,0,Amruta Garde,53,Female,Mumbai,Single,Self-employed,Consultant,239289,158055,78445,4366240,Owned,High School,1,687,82,6,3,45,YouTube,Web,25,28.0,87,12,6,8.0,1358.9166666666667,0.5525,48.916666666666664,0,4
LN577709,C00590,Vehicle,1373301,1342991,24,8.3,60923.77,0.71,2024-07-03,38,62,0.248,Medium,0,Insufficient Repayment Capacity,1.31,Rejected,0,Dalaja Sahota,49,Female,Delhi,Married,Salaried,Bank Officer,32000,21077,4765,185141,Rented,High School,2,681,82,13,4,6,Google Ads,iPhone,2,3.8666666666666667,16,1,1,0.0,31837.916666666668,0.3591666666666667,88.66666666666667,0,0
LN973772,C00591,Home Renovation,50000,47580,48,13.15,1280.0,0.36,2025-10-04,93,7,0.578,High,0,High Risk,1.1,Rejected,0,Jasmit Madan,58,Male,Indore,Married,Salaried,Bank Officer,120817,60986,13227,973200,Family Owned,PhD,2,706,111,25,3,81,Facebook,Android,52,21.772727272727273,80,9,5,6.0,-19.75,0.6441666666666667,37.333333333333336,1,5
LN586636,C00592,Vehicle,604086,423162,60,8.86,8755.42,0.12,2026-05-26,5,95,0.05,Low,1,0,0.49,Closed,0,Alexander Kaur,48,Male,Chennai,Divorced,Salaried,Software Engineer,65156,28474,24927,797439,Rented,Diploma,0,722,62,11,2,65,YouTube,iPhone,43,2.526315789473684,14,0,1,0.0,40632.25,0.3075,77.83333333333333,0,0
LN858541,C00593,Home Renovation,2388351,1851829,48,11.24,48077.61,0.88,2025-08-26,58,42,0.368,High,0,Insufficient Repayment Capacity,2.83,Rejected,0,Edhitha Yadav,58,Male,Hyderabad,Married,Salaried,Doctor,139263,74392,8588,2020235,Rented,High School,1,718,69,17,1,20,Instagram,Android,6,15.045454545454545,75,6,5,4.0,16437.666666666668,0.3491666666666667,82.25,1,1
LN774322,C00594,Vehicle,1778606,1500199,36,8.5,47357.59,0.32,2024-12-31,23,77,0.158,Low,1,0,0.86,Defaulted,1,Widisha Bobal,42,Male,Jamshedpur,Single,Salaried,Government Employee,71369,45416,18221,574567,Rented,Diploma,0,691,71,3,1,113,Google Ads,iPhone,58,24.55,90,8,3,8.0,49391.0,0.38166666666666665,88.91666666666667,0,0
LN497406,C00595,Personal,101380,90941,24,12.47,4300.9,0.76,2025-04-06,68,32,0.428,High,0,Insufficient Repayment Capacity,1.35,Rejected,0,Chasmum Krishnan,22,Female,Meerut,Married,Salaried,Accountant,139302,82167,42544,2519434,Rented,Diploma,1,699,40,0,3,84,Facebook,Web,27,20.4375,89,5,0,5.0,1544.9166666666667,0.6883333333333334,40.0,1,1
LN634973,C00596,Education,477071,425595,36,11.99,14133.81,0.55,2024-12-06,75,25,0.47,High,1,0,1.38,Defaulted,1,Yash Subramaniam,38,Male,Chennai,Married,Salaried,Bank Officer,112798,63325,18184,2749261,Owned,Bachelor,4,746,63,7,1,278,Google Ads,Web,90,20.26086956521739,74,10,10,6.0,-7342.833333333333,0.6433333333333333,73.5,3,7
LN443918,C00597,Vehicle,1610032,1130493,60,11.35,24777.44,0.31,2026-02-10,23,77,0.158,Low,1,0,1.17,Defaulted,1,Jagvi Brar,42,Female,Kolkata,Married,Salaried,Software Engineer,119041,74253,13353,3256790,Family Owned,PhD,1,701,33,8,0,252,Google Ads,Android,65,26.58823529411765,86,8,4,7.0,22182.666666666668,0.29833333333333334,67.91666666666667,1,2
LN380590,C00598,Vehicle,5035986,4428632,48,11.16,114804.72,0.62,2025-01-08,45,55,0.29,Medium,0,Insufficient Repayment Capacity,1.99,Rejected,0,Manthan Gulati,51,Female,Bhubaneswar,Single,Self-employed,Freelancer,226597,124578,67176,7504462,Rented,High School,0,690,111,4,1,27,YouTube,Web,15,17.166666666666668,68,6,4,4.0,95075.91666666667,0.3116666666666667,81.58333333333333,1,1
LN801782,C00599,Medical,1039118,875421,36,13.93,29890.06,0.41,2026-03-25,55,45,0.35,High,0,Insufficient Repayment Capacity,0.99,Rejected,0,Falguni Mander,18,Male,Srinagar,Married,Student,Student,9920,9675,3479,20790,Owned,Bachelor,2,606,1,0,0,87,Referral,iPhone,25,6.0,58,1,0,1.0,37367.166666666664,0.3658333333333333,48.5,1,0
LN168129,C00600,Business,3805537,2868881,36,13.94,97967.97,0.82,2025-12-19,38,62,0.248,Medium,0,Insufficient Repayment Capacity,2.01,Rejected,0,Lipika Doctor,41,Male,Meerut,Married,Salaried,Sales Executive,52338,28197,20796,248296,Rented,Master,3,700,38,13,0,18,Facebook,Web,9,4.357142857142857,16,1,3,0.0,56767.166666666664,0.31416666666666665,85.66666666666667,0,0
LN670090,C00601,Home Renovation,9180376,7213696,48,9.08,179787.28,0.83,2026-04-18,56,44,0.356,High,0,Insufficient Repayment Capacity,2.77,Rejected,0,Aishani Cheema,28,Male,Bhopal,Single,Self-employed,Freelancer,163647,101510,46058,4226104,Rented,PhD,0,694,41,6,0,12,Instagram,Web,4,7.8,38,2,4,2.0,92546.66666666667,0.37833333333333335,77.66666666666667,1,1
LN478688,C00602,Education,368429,326609,36,12.64,10948.2,0.52,2025-01-13,70,30,0.44,High,1,0,1.28,Closed,0,Gabriel Ram,59,Male,Chapra,Single,Salaried,Accountant,44109,23465,17192,421495,Rented,Bachelor,1,694,26,3,1,101,Instagram,iPhone,37,19.263157894736842,71,7,4,5.0,-2173.75,0.6791666666666667,46.083333333333336,1,9
LN720232,C00603,Home Renovation,87045,78613,48,8.99,1955.91,0.02,2026-03-05,25,75,0.17,Medium,1,0,0.06,Active,0,Geetika Mukhopadhyay,24,Female,Indore,Single,Student,Student,27024,17036,1527,112308,Rented,Bachelor,1,641,66,0,3,144,Instagram,Web,41,12.857142857142858,83,4,3,3.0,60856.583333333336,0.3666666666666667,78.25,0,0
LN360641,C00604,Personal,221792,181654,36,23.08,7039.35,0.25,2026-05-14,51,49,0.326,High,1,0,0.55,Active,0,Chatura Dhaliwal,31,Male,Jamshedpur,Married,Salaried,Teacher,70884,31357,15388,1263245,Family Owned,PhD,4,716,35,5,1,177,Google Ads,Android,52,17.047619047619047,65,7,6,5.0,5261.333333333333,0.6325,43.583333333333336,2,2
LN512078,C00605,Medical,1716804,1424300,24,14.17,68499.19,1.72,2026-05-08,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.98,Rejected,0,Samar Lanka,38,Male,Surat,Married,Salaried,Government Employee,88970,62545,5213,752386,Family Owned,Master,4,656,83,10,0,209,Facebook,iPhone,99,2.642857142857143,10,0,1,0.0,20559.0,0.30583333333333335,49.333333333333336,0,0
LN593650,C00606,Vehicle,323773,235885,24,10.75,10966.73,0.27,2025-01-25,18,82,0.128,Low,1,0,0.48,Defaulted,1,Harrison Gopal,55,Female,Surat,Married,Salaried,Teacher,145329,66068,32299,3744908,Rented,PhD,4,726,21,18,0,217,Google Ads,Web,84,22.764705882352942,88,6,2,5.0,9864.916666666666,0.33749999999999997,95.91666666666667,1,1
LN411834,C00607,Business,2108349,1644380,48,10.04,41737.32,0.31,2024-08-27,27,73,0.182,Medium,1,0,1.02,Active,0,Vaishnavi Krishna,36,Female,Meerut,Married,Self-employed,Business Owner,241738,119980,30463,6514144,Rented,Master,3,710,59,13,4,295,Facebook,Android,80,2.8666666666666667,7,0,1,0.0,59553.666666666664,0.13,78.41666666666667,2,1
LN904181,C00608,Business,1123584,1068670,36,14.95,37019.64,0.86,2025-05-22,54,46,0.344,High,0,Insufficient Repayment Capacity,2.07,Rejected,0,Chanakya Chahal,53,Female,Ahmedabad,Married,Salaried,Software Engineer,125310,83846,6738,947043,Owned,PhD,1,714,101,10,5,64,Facebook,Web,25,22.857142857142858,88,4,3,4.0,25082.5,0.38166666666666665,82.33333333333333,0,0
LN854029,C00609,Personal,579454,481127,24,22.41,25057.5,0.32,2025-03-23,18,82,0.128,Low,1,0,0.51,Active,0,Tanay Solanki,54,Female,Surat,Single,Salaried,Accountant,138620,59226,13806,3710854,Family Owned,PhD,1,726,106,12,1,14,YouTube,iPhone,7,7.9375,84,1,0,1.0,40123.5,0.33,77.5,0,0
LN461893,C00610,Home Renovation,60214,46018,60,10.72,994.13,0.08,2025-02-14,100,0,0.62,High,0,High Risk,0.32,Rejected,0,Bachittar Sinha,52,Male,Jamshedpur,Married,Salaried,Bank Officer,99305,45717,329,473434,Rented,PhD,1,728,82,26,1,88,Referral,iPhone,28,5.0,20,3,5,0.0,-4138.75,0.6858333333333334,59.166666666666664,1,12
LN328059,C00611,Medical,976490,690830,24,13.3,32940.75,1.07,2025-05-06,30,70,0.2,Medium,0,Insufficient Repayment Capacity,1.87,Rejected,0,Jagvi Aggarwal,34,Male,Meerut,Single,Salaried,Bank Officer,94519,71276,20247,1132540,Family Owned,Diploma,0,694,81,6,2,123,Instagram,Web,31,5.0,38,1,3,1.0,9564.583333333334,0.1625,91.58333333333333,2,1
LN356687,C00612,Home Renovation,1372057,1320816,48,10.17,33607.24,0.9,2025-11-20,63,37,0.398,High,0,Insufficient Repayment Capacity,2.95,Rejected,0,Kamya Nagy,60,Male,Hyderabad,Married,Salaried,Sales Executive,93604,61723,6778,1341848,Family Owned,PhD,3,718,108,33,6,58,Instagram,Web,30,5.705882352941177,19,2,6,0.0,17838.0,0.15166666666666664,93.58333333333333,0,0
LN584857,C00613,Home Renovation,1991837,1498947,48,9.35,37550.97,0.6,2025-12-25,63,37,0.398,High,0,Insufficient Repayment Capacity,2.01,Rejected,0,Pavani Pillay,45,Female,Chapra,Married,Salaried,Teacher,48216,34550,15674,331357,Rented,Bachelor,1,697,21,12,0,174,Referral,iPhone,86,12.041666666666666,59,6,6,3.0,13886.75,0.3758333333333333,75.25,1,1
LN905080,C00614,Medical,296533,289171,36,19.85,10724.54,0.51,2026-02-07,63,37,0.398,High,1,0,1.14,Closed,0,Noah Chanda,36,Female,Chapra,Married,Salaried,Doctor,114488,90929,22239,3483952,Owned,High School,2,738,100,0,4,214,Google Ads,iPhone,57,10.333333333333334,83,1,2,1.0,5183.166666666667,0.7233333333333333,77.91666666666667,0,2
LN766079,C00615,Medical,1383488,1075398,24,11.83,50537.39,0.83,2025-08-11,65,35,0.41,High,0,Insufficient Repayment Capacity,1.47,Rejected,0,Nitara Sami,47,Female,Chennai,Married,Salaried,Accountant,121325,62232,2664,3877178,Owned,Diploma,3,751,19,17,0,290,Referral,Web,94,11.166666666666666,72,4,7,2.0,19293.833333333332,0.6741666666666667,68.08333333333333,0,0
LN543826,C00616,Medical,170290,130743,24,16.51,6433.49,0.22,2025-02-23,50,50,0.32,High,1,0,0.38,Closed,0,Chatresh Sarma,60,Male,Mumbai,Single,Salaried,Bank Officer,60131,38700,16735,814327,Rented,Bachelor,1,738,48,35,4,186,Referral,Web,93,13.421052631578947,74,5,6,2.0,8382.666666666666,0.32666666666666666,76.75,1,1
LN788650,C00617,Medical,1917739,1415411,12,11.49,125420.11,2.61,2024-09-17,44,56,0.284,Medium,0,Insufficient Repayment Capacity,2.45,Rejected,0,Nidhi Shah,22,Female,Ballia,Single,Salaried,Sales Executive,52072,22969,16878,850430,Family Owned,Master,0,708,1,0,0,247,Facebook,Web,70,2.4166666666666665,4,0,0,0.0,25932.0,0.13916666666666666,95.58333333333333,1,0
LN195318,C00618,Personal,108639,94410,36,23.13,3660.98,0.04,2025-01-29,35,65,0.23,Medium,1,0,0.09,Active,0,Tanmayi Batta,19,Male,Ahmedabad,Single,Student,Student,26656,21286,2477,58611,Family Owned,Diploma,0,603,11,0,0,325,Referral,Web,100,3.75,17,1,3,0.0,17666.416666666668,0.385,87.83333333333333,1,2
LN504680,C00619,Medical,1230643,1171025,12,18.18,107459.9,2.0,2025-11-22,63,37,0.398,High,0,Insufficient Repayment Capacity,1.82,Rejected,0,Daksha Butala,42,Male,Indore,Married,Salaried,Doctor,115433,49877,24859,3916808,Rented,Bachelor,1,702,37,6,3,76,Facebook,Web,30,13.583333333333334,58,4,2,2.0,25717.5,0.3166666666666667,98.33333333333333,0,0
LN136310,C00620,Education,357983,333318,36,10.13,10775.59,0.59,2026-03-29,93,7,0.578,High,0,High Risk,1.51,Rejected,0,Maya Chaudhary,49,Male,Surat,Married,Salaried,Teacher,50729,34780,9355,901690,Rented,High School,2,706,45,14,1,63,Instagram,Web,17,20.473684210526315,75,8,3,5.0,-1155.3333333333333,0.6124999999999999,37.416666666666664,1,7
LN299346,C00621,Personal,168456,167961,36,22.73,6478.11,0.22,2025-12-07,28,72,0.188,Medium,1,0,0.47,Active,0,Balendra Sandal,22,Female,Ranchi,Single,Student,Student,22094,19319,5183,107269,Owned,Bachelor,0,605,29,0,0,147,Facebook,Android,72,8.941176470588236,81,2,2,1.0,9261.166666666666,0.3408333333333333,70.0,3,2
LN806251,C00622,Vehicle,6105529,4930921,24,9.75,226968.44,1.62,2026-04-21,53,47,0.338,High,0,Insufficient Repayment Capacity,2.93,Rejected,0,Pratyush Lad,36,Female,Pune,Married,Salaried,Accountant,64243,33731,25499,509751,Rented,Diploma,2,750,84,9,7,248,Google Ads,Web,85,13.285714285714286,88,3,2,3.0,57235.75,0.3566666666666667,88.41666666666667,1,0
LN886649,C00623,Personal,919192,651205,12,12.61,58044.77,1.63,2026-01-28,51,49,0.326,High,0,Insufficient Repayment Capacity,1.53,Rejected,0,Xalak Sengupta,22,Male,Delhi,Single,Student,Student,5515,4065,196,18867,Rented,High School,1,629,20,0,0,13,Google Ads,Web,5,24.25,72,5,6,4.0,13025.833333333334,0.3641666666666667,86.66666666666667,0,0
LN730595,C00624,Home Renovation,622733,593798,60,10.5,12763.04,0.18,2025-06-21,13,87,0.098,Low,1,0,0.68,Defaulted,1,Baljiwan Vasa,26,Male,Mumbai,Married,Salaried,Teacher,69670,34476,22652,777259,Rented,Diploma,4,704,5,3,0,68,Referral,Web,35,23.333333333333332,88,10,4,9.0,24893.583333333332,0.3083333333333333,81.25,1,1
LN734822,C00625,Vehicle,1143162,988360,36,10.84,32282.8,0.26,2024-06-06,37,63,0.242,Medium,1,0,0.67,Active,0,Yashica Mander,50,Female,Bhubaneswar,Married,Unemployed,Unemployed,10300,10201,0,22074,Rented,High School,2,435,39,0,1,151,Google Ads,Web,65,6.214285714285714,53,1,0,1.0,46939.666666666664,0.3758333333333333,87.83333333333333,0,0
LN704297,C00626,Personal,539207,400765,12,13.72,35930.76,0.84,2026-05-14,68,32,0.428,High,0,Insufficient Repayment Capacity,0.78,Rejected,0,Mason Chakraborty,26,Female,Indore,Married,Salaried,Teacher,77865,44335,30836,1385981,Rented,PhD,4,752,38,1,0,143,YouTube,Web,67,4.833333333333333,15,0,4,0.0,18812.916666666668,0.2925,88.83333333333333,1,1
LN811838,C00627,Personal,166587,146485,36,13.04,4938.48,0.33,2026-04-21,58,42,0.368,High,1,0,0.82,Defaulted,1,Parth Dyal,29,Female,Jamshedpur,Single,Salaried,Accountant,113000,67308,14197,1141598,Family Owned,Bachelor,0,715,50,6,1,205,Google Ads,Web,66,25.789473684210527,90,7,6,6.0,-189.58333333333334,0.5833333333333334,67.5,0,7
LN953498,C00628,Personal,2089319,1692018,24,18.14,84586.98,1.25,2026-04-10,51,49,0.326,High,0,Insufficient Repayment Capacity,2.08,Rejected,0,Jack Mand,27,Female,Darbhanga,Married,Unemployed,Unemployed,7577,6054,0,3342,Rented,Master,4,494,72,0,3,80,Instagram,iPhone,47,19.944444444444443,86,5,2,5.0,26407.5,0.33666666666666667,73.75,2,2
LN943070,C00629,Personal,1186803,876359,12,13.05,78294.56,0.89,2024-09-29,43,57,0.278,Medium,0,Insufficient Repayment Capacity,0.83,Rejected,0,Raagini Chaudhari,24,Male,Nagpur,Single,Student,Student,23691,22627,17,123496,Rented,High School,1,549,70,0,2,165,Google Ads,iPhone,100,2.5833333333333335,8,0,1,0.0,46178.916666666664,0.3741666666666667,87.41666666666667,2,0
LN347933,C00630,Medical,119990,103972,12,13.28,9300.16,1.3,2025-09-17,88,12,0.548,High,0,High Risk,1.21,Rejected,0,Mahika Khare,25,Male,Surat,Married,Student,Student,17863,17373,2050,25823,Rented,Bachelor,3,588,68,0,4,150,YouTube,Android,61,15.5,49,6,5,2.0,-1030.5833333333333,0.6291666666666667,47.583333333333336,2,7
LN326077,C00631,Home Renovation,2777286,2558152,60,10.09,54466.52,0.5,2026-04-16,50,50,0.32,High,0,Insufficient Repayment Capacity,1.96,Rejected,0,Xavier Pandit,39,Male,Pune,Married,Self-employed,Business Owner,123587,83600,6699,1790001,Owned,Bachelor,1,695,67,17,2,303,Google Ads,Web,76,28.72222222222222,89,9,3,8.0,34879.666666666664,0.37999999999999995,88.91666666666667,1,1
LN617375,C00632,Medical,228156,175838,36,15.12,6105.82,0.06,2025-11-02,20,80,0.14,Low,1,0,0.15,Closed,0,Falan Nayar,29,Male,Delhi,Married,Salaried,Sales Executive,42587,24560,9563,350408,Rented,PhD,1,695,91,3,3,144,Google Ads,Web,65,2.5,5,0,3,0.0,49069.75,0.13166666666666668,79.25,0,0
LN800157,C00633,Business,2277953,1927055,36,15.78,67540.42,0.94,2026-04-23,66,34,0.416,High,0,Insufficient Repayment Capacity,2.22,Rejected,0,Abhiram Vala,47,Female,Delhi,Divorced,Salaried,Bank Officer,31818,14477,6600,314056,Rented,PhD,0,725,77,19,1,102,Google Ads,Web,31,14.6,84,4,5,2.0,28976.083333333332,0.32583333333333336,92.66666666666667,1,1
LN250830,C00634,Vehicle,2698558,2041711,24,10.77,94941.86,0.89,2024-12-03,50,50,0.32,High,0,Insufficient Repayment Capacity,1.6,Rejected,0,Vedant Sant,62,Female,Pune,Married,Self-employed,Business Owner,245441,139696,26214,4294666,Owned,High School,3,723,68,2,2,112,Referral,Web,70,10.214285714285714,83,1,3,1.0,36715.25,0.32583333333333336,91.91666666666667,0,0
LN274469,C00635,Vehicle,1452090,1218711,24,10.16,56327.37,0.95,2025-04-20,55,45,0.35,High,0,Insufficient Repayment Capacity,1.71,Rejected,0,Qasim Gole,52,Female,Chapra,Married,Unemployed,Unemployed,14404,13369,0,22987,Rented,Master,2,462,7,0,0,25,YouTube,Web,9,15.76923076923077,52,5,5,3.0,21507.5,0.35333333333333333,82.5,1,1
LN729317,C00636,Medical,1745236,1293823,36,17.82,46658.06,0.26,2025-07-18,57,43,0.362,High,1,0,0.61,Defaulted,1,Yadavi Bhattacharyya,22,Male,Mumbai,Single,Salaried,Accountant,59320,38799,9291,273531,Owned,Diploma,1,712,19,0,1,120,Google Ads,Android,51,11.095238095238095,89,3,7,2.0,85904.5,0.3741666666666667,84.75,0,0
LN241701,C00637,Medical,4582104,3744502,12,16.92,341374.23,1.77,2026-04-19,60,40,0.38,High,0,Insufficient Repayment Capacity,1.62,Rejected,0,Manthan Purohit,42,Female,Darbhanga,Married,Salaried,Sales Executive,128662,101916,1145,1791690,Owned,Bachelor,2,697,69,8,0,370,Google Ads,Web,96,18.166666666666668,54,5,3,4.0,59600.083333333336,0.3566666666666667,53.25,0,2
LN997861,C00638,Business,2352516,1806643,48,12.09,47655.71,0.87,2025-06-24,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.74,Rejected,0,Hritik Shah,55,Male,Indore,Married,Self-employed,Shop Owner,202235,158811,52256,6016071,Owned,PhD,1,706,86,27,2,84,Referral,Web,26,4.25,16,1,3,0.0,18361.0,0.3233333333333333,82.5,1,1
LN887490,C00639,Home Renovation,427725,377065,60,9.98,8007.81,0.13,2025-11-30,40,60,0.26,Medium,1,0,0.49,Active,0,Mitesh Rastogi,33,Female,Bangalore,Married,Salaried,Sales Executive,131834,56244,6147,4325430,Rented,High School,1,716,41,0,0,28,Facebook,Web,12,5.684210526315789,49,2,1,1.0,20855.25,0.3641666666666667,73.25,0,0
LN456880,C00640,Personal,961390,749771,24,23.31,39383.48,0.75,2025-10-20,38,62,0.248,Medium,0,Insufficient Repayment Capacity,1.19,Rejected,0,Ishwar Murthy,59,Male,Kolkata,Single,Self-employed,Consultant,174376,132432,41980,1833625,Owned,PhD,0,696,97,18,5,107,Referral,Android,30,7.388888888888889,76,1,1,1.0,24732.833333333332,0.37916666666666665,95.5,1,1
LN829744,C00641,Business,2964639,2940593,60,10.43,63102.89,0.71,2024-11-15,58,42,0.368,High,0,Insufficient Repayment Capacity,2.76,Rejected,0,Chaitaly Dada,26,Female,Pune,Married,Self-employed,Shop Owner,156685,114542,39076,2383704,Rented,Diploma,4,694,42,4,1,7,Facebook,Android,2,10.736842105263158,74,2,3,2.0,28748.083333333332,0.3175,75.08333333333333,1,1
LN889425,C00642,Personal,203584,192852,36,15.04,6689.06,0.37,2024-12-18,68,32,0.428,High,1,0,0.89,Closed,0,Saumya Sha,25,Male,Srinagar,Married,Student,Student,21196,13216,5415,48107,Rented,High School,3,621,58,0,2,8,Instagram,Web,5,7.5625,19,3,6,0.0,5917.0,0.6175,42.416666666666664,2,1
LN803745,C00643,Business,545937,424070,36,15.48,14800.4,0.57,2025-06-11,40,60,0.26,Medium,1,0,1.35,Defaulted,1,Frederick Murthy,57,Male,Chennai,Married,Salaried,Government Employee,124560,54669,20542,3070560,Owned,Diploma,4,723,43,13,3,1,Instagram,Android,1,24.76923076923077,84,5,3,4.0,2953.75,0.33666666666666667,81.75,3,3
LN911639,C00644,Medical,2241372,2056959,12,17.39,187985.35,2.8,2024-11-20,66,34,0.416,High,0,Insufficient Repayment Capacity,2.56,Rejected,0,Vrinda Rattan,32,Male,Meerut,Married,Salaried,Government Employee,75058,58232,2609,751345,Rented,Diploma,3,721,107,7,6,215,Google Ads,iPhone,96,10.083333333333334,37,4,6,1.0,30230.333333333332,0.36166666666666664,88.5,0,0
LN592360,C00645,Vehicle,881668,634922,24,10.88,29556.98,0.48,2025-03-08,60,40,0.38,High,0,Insufficient Repayment Capacity,0.85,Rejected,0,Alka Tiwari,34,Female,Patna,Married,Salaried,Software Engineer,51533,31587,487,872528,Rented,Master,1,730,31,5,1,302,YouTube,iPhone,87,5.954545454545454,72,1,3,1.0,19137.333333333332,0.3641666666666667,90.66666666666667,0,0
LN813801,C00646,Medical,9916627,8512693,36,11.71,281565.58,1.28,2025-09-29,65,35,0.41,High,0,Insufficient Repayment Capacity,3.22,Rejected,0,Rajeshri Ram,60,Male,Darbhanga,Divorced,Salaried,Government Employee,33123,26159,10918,146930,Rented,Diploma,1,677,55,17,2,197,Referral,iPhone,87,14.88888888888889,88,4,3,4.0,92230.5,0.3333333333333333,78.83333333333333,0,0
LN791378,C00647,Personal,192039,171067,24,16.4,8408.7,0.31,2025-08-06,38,62,0.248,Medium,1,0,0.53,Active,0,Sarthak Bhatt,54,Male,Bhubaneswar,Married,Salaried,Government Employee,131721,89661,40500,3517927,Rented,High School,2,702,19,4,1,246,YouTube,Web,68,3.533333333333333,12,0,1,0.0,15384.333333333334,0.30416666666666664,76.08333333333333,0,0
LN788127,C00648,Vehicle,2801468,2144634,24,11.36,100315.58,1.27,2024-10-29,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.27,Rejected,0,Gaurika Krishnan,60,Male,Bhubaneswar,Married,Salaried,Doctor,112492,83944,35318,905900,Rented,Master,3,717,104,37,0,165,Facebook,Web,56,3.4375,11,0,1,0.0,33268.166666666664,0.29250000000000004,59.25,0,0
LN979687,C00649,Medical,6520120,5927258,24,13.32,282684.37,1.24,2025-11-26,58,42,0.368,High,0,Insufficient Repayment Capacity,2.16,Rejected,0,Jeet Chakraborty,44,Female,Meerut,Married,Self-employed,Business Owner,76131,49070,26228,1023152,Rented,High School,3,720,57,14,4,87,Facebook,Android,48,9.608695652173912,46,5,4,3.0,21626.5,0.3408333333333333,83.0,3,2
LN879228,C00650,Medical,538091,400970,12,12.9,35794.74,0.82,2024-12-24,55,45,0.35,High,0,Insufficient Repayment Capacity,0.77,Rejected,0,Neelima Varty,47,Male,Chennai,Married,Self-employed,Business Owner,42572,22928,2542,446440,Family Owned,Master,1,701,52,7,2,188,Facebook,Web,65,11.833333333333334,72,2,5,1.0,9636.333333333334,0.3575,80.66666666666667,0,1
LN958263,C00651,Personal,230705,227738,36,22.06,8704.49,0.07,2025-07-06,5,95,0.05,Low,1,0,0.15,Closed,0,Pushti Toor,21,Female,Ahmedabad,Single,Student,Student,11161,8679,4233,22507,Family Owned,High School,1,576,6,0,0,234,YouTube,Android,93,1.875,4,0,0,0.0,62894.75,0.17,83.41666666666667,0,0
LN767759,C00652,Medical,798192,568034,24,11.47,26598.96,0.2,2026-02-22,30,70,0.2,Medium,1,0,0.36,Active,0,Christopher Rastogi,21,Male,Bhopal,Single,Student,Student,25553,23072,8099,36567,Family Owned,Bachelor,1,594,13,0,1,383,Google Ads,Android,98,7.0625,35,2,3,1.0,76749.0,0.30333333333333334,86.33333333333333,0,0
LN881728,C00653,Personal,517315,507651,12,11.29,44935.74,0.78,2024-07-12,30,70,0.2,Medium,0,Insufficient Repayment Capacity,0.74,Rejected,0,Yatin Rattan,44,Male,Jamshedpur,Married,Salaried,Government Employee,76072,55779,19605,565592,Rented,PhD,3,723,40,19,0,113,YouTube,Web,63,1.9166666666666667,5,0,0,0.0,28010.5,0.14583333333333334,80.75,0,0
LN547118,C00654,Vehicle,2590423,2127496,48,10.22,54183.85,0.65,2025-11-28,66,34,0.416,High,0,Insufficient Repayment Capacity,2.13,Rejected,0,Lajita Tripathi,25,Male,Meerut,Single,Student,Student,29751,21519,8755,172960,Rented,Diploma,0,610,34,0,0,74,YouTube,iPhone,20,12.117647058823529,81,3,3,3.0,41247.833333333336,0.3416666666666666,82.25,2,0
LN675894,C00655,Personal,307451,257223,36,20.94,9682.97,0.49,2025-06-24,75,25,0.47,High,1,0,1.09,Defaulted,1,Jasmit Bobal,40,Male,Bhubaneswar,Married,Salaried,Government Employee,43930,21224,10653,424626,Owned,High School,2,749,1,13,0,194,Google Ads,iPhone,55,9.166666666666666,42,3,5,1.0,-6514.0,0.6774999999999999,61.833333333333336,2,9
LN405083,C00656,Business,2781237,2440438,48,14.54,67351.52,0.44,2025-10-14,60,40,0.38,High,0,Insufficient Repayment Capacity,1.32,Rejected,0,Vamakshi Mital,50,Female,Hyderabad,Married,Salaried,Bank Officer,79621,53963,22716,280445,Rented,Diploma,2,676,35,10,2,243,Google Ads,Web,74,17.23076923076923,86,3,4,2.0,67952.58333333333,0.37083333333333335,53.25,0,0
